inc,m,f,t,csr,Hk,X
1.148926,127,128,255,.9921875,-.0039216,127.5
1.303677,122,95,217,1.284211,.124424,108.5
1.563672,108,87,195,1.241379,.1076923,97.5
1.607062,102,83,185,1.228916,.1027027,92.5
1.871969,67,81,148,.8271605,-.0945946,74
2.170241,53,50,103,1.06,.0291262,51.5
