inc,m,f,t,csr,Hk,X
1.913342,118,128,246,.9218751,-.0406503,123
2.301175,170,142,312,1.197183,.0897436,156
2.405239,113,124,237,.9112902,-.0464136,118.5
2.482229,140,106,246,1.320755,.1382114,123
3.072774,71,74,145,.9594595,-.0206896,72.5
3.256603,79,72,151,1.097222,.0463576,75.5
