inc,m,f,t,csr,Hk,X
1.303885,48,78,126,.6153846,-.2380952,63
1.592944,55,64,119,.859375,-.0756303,59.5
1.708878,56,64,120,.875,-.0666667,60
1.709959,64,65,129,.9846154,-.0077519,64.5
2.024255,44,41,85,1.073171,.0352941,42.5
2.28,43,37,80,1.162162,.075,40
