inc,m,f,t,csr,Hk,X
1.417183,1712,1743,3455,0.9822146,-0.0089725,1727.5
1.52878,1503,1607,3110,0.9352833,-0.0334404,1555
1.768502,1747,1560,3307,1.119872,0.0565467,1653.5
1.894995,1900,1578,3478,1.204056,0.092582,1739
1.903228,1791,1527,3318,1.172888,0.079566,1659
1.913665,1839,1512,3351,1.21627,0.0975828,1675.5
1.933149,1804,1586,3390,1.137453,0.0643068,1695
2.305454,1165,1141,2306,1.021034,0.0104076,1153
2.536936,963,964,1927,0.9989626,-0.0005189,963.5
2.578686,1025,883,1908,1.160815,0.0744235,954
