inc,m,f,t,csr,Hk,X,caste,inc_cls,d_girl6,mean_frac
1.328975,976,1009,1985,.9672943,-.0166247,992.5,38,1,.5083123,.5256909
1.535842,916,902,1818,1.015521,.0077008,909,38,2,.4961496,.5047531
1.597376,945.0001,985.9999,1931,.958418,-.0212325,965.5,38,3,.5106162,.4739495
1.80665,1210,1112,2322,1.08813,.042205,1161,38,4,.4788975,.4745304
1.908075,1257,1070,2327,1.174766,.080361,1163.5,38,5,.4598195,.4726219
1.963401,1215,1067,2282,1.138707,.0648554,1141,38,6,.4675723,.4641127
2.001628,1211,1020,2231,1.187255,.0856118,1115.5,38,7,.4571941,.4726134
2.160347,933,886,1819,1.053047,.0258384,909.5,38,8,.4870808,.4995446
2.566514,756,692,1448,1.092486,.0441989,724,38,9,.4779006,.4830275
2.674983,755,761,1516,.9921156,-.0039578,758,38,10,.5019789,.4684731
1.421163,71,63,134,1.126984,.0597015,67,44,1,.4701492,.5256909
1.528434,56,51,107,1.098039,.046729,53.5,44,2,.4766355,.5047531
1.810918,77,65,142,1.184615,.084507,71,44,3,.4577465,.4739495
1.864721,78,78,156,1,0,78,44,4,.5,.4745304
1.880382,51,41,92,1.243902,.1086957,46,44,5,.4456522,.4726219
1.919631,97,80,177,1.2125,.0960452,88.5,44,6,.4519774,.4641127
1.972743,48,50,98,.96,-.0204082,49,44,7,.5102041,.4726134
2.332774,58,51,109,1.137255,.0642202,54.5,44,8,.4678899,.4995446
2.515684,25,26,51,.9615383,-.0196079,25.5,44,9,.509804,.4830275
2.631396,44,27,71,1.62963,.2394366,35.5,44,10,.3802817,.4684731
