inc,m,f,t,csr,Hk,X
1.266068,57.83133,102.1687,160,.5660378,-.2771084,80
1.367654,50.84211,75.15789,126,.6764707,-.1929824,63
1.660379,41.91781,48.08219,90,.8717949,-.0684931,45
1.708578,41.12329,37.87671,79,1.085714,.0410959,39.5
1.70903,32.70886,43.29114,76,.7555556,-.1392405,38
1.709649,38.65672,35.34328,74,1.09375,.0447761,37
1.710505,36.11111,38.88889,75,.9285714,-.0370371,37.5
2.0751,12.26923,9.730769,22,1.26087,.1153846,11
2.278841,2.35849,2.64151,5,.8928571,-.0566038,2.5
2.280729,6.731708,5.268292,12,1.277778,.1219513,6
