inc,m,f,t,csr,Hk,X
1.710537,149.0423,136.9577,286,1.088235,.0422535,143
1.979636,108.9032,102.0968,211,1.066667,.0322581,105.5
2.195363,85.10909,65.89091,151,1.291667,.1272728,75.5
2.195423,90.06622,69.93378,160,1.287879,.1258278,80
2.195487,87.94152,58.05848,146,1.514706,.2046784,73
2.195665,88.39286,109.6071,198,.8064517,-.1071428,99
2.321802,64.7027,61.2973,126,1.055555,.027027,63
2.927154,12.05882,12.94118,25,.9318181,-.0352942,12.5
2.927308,19.45361,17.54639,37,1.108696,.0515464,18.5
2.927733,7.2,10.8,18,.6666666,-.2,9
