inc,m,f,t,csr,Hk,X
1.092346,177.4031,216.5969,394,.8190476,-.0994765,197
1.28646,170.3247,134.6753,305,1.264706,.1168831,152.5
1.380602,116.1,126.9,243,.9148936,-.0444445,121.5
1.549212,80.84,107.16,188,.754386,-.14,94
1.609481,102.7183,84.28168,187,1.21875,.0985916,93.5
1.666179,80.91195,74.08805,155,1.092105,.0440252,77.5
1.784826,74.0339,69.9661,144,1.05814,.0282486,72
2.032685,23.59664,28.40336,52,.8307692,-.092437,26
2.177998,20.82692,17.17308,38,1.212766,.0961539,19
2.374582,14.32174,12.67826,27,1.12963,.0608696,13.5
