inc,m,f,t,csr,Hk,X
.7492729,86.66666,95.33334,182,.9090909,-.0476191,91
.9033745,69.26582,74.73418,144,.9268293,-.0379747,72
.9262292,74.53847,77.46153,152,.9622643,-.0192307,76
1.071888,53.08235,40.91765,94,1.297297,.1294117,47
1.134246,37.18681,34.81319,72,1.068182,.0329671,36
1.152761,47.77778,38.22222,86,1.25,.1111111,43
1.195132,41.01266,30.98734,72,1.323529,.1392405,36
1.439841,9.322034,12.67797,22,.7352941,-.1525424,11
1.526067,14.39286,11.60714,26,1.24,.1071429,13
1.585291,9.45,8.55,18,1.105263,.05,9
