inc,m,f,t,csr,Hk,X
1.417183,3206.965,3265.035,6472,.9822145,-.0089725,3236
1.52878,2691.385,2877.615,5569,.9352832,-.0334405,2784.5
1.768502,1961.479,1751.521,3713,1.119872,.0565467,1856.5
1.894995,1725.733,1433.267,3159,1.204056,.092582,1579.5
1.903228,1632.844,1392.156,3025,1.172888,.079566,1512.5
1.913665,1686.436,1386.564,3073,1.21627,.0975829,1536.5
1.933149,1657.126,1456.874,3114,1.137453,.0643068,1557
2.305454,594.1197,581.8803,1176,1.021034,.0104077,588
2.536936,258.3658,258.6342,517,.9989626,-.000519,258.5
2.578686,257.3244,221.6756,479,1.160815,.0744235,239.5
