inc,m,f,t,csr,Hk,X
1.421163,124.5149,110.4851,235,1.126984,.0597015,117.5
1.528434,101.5327,92.46729,194,1.098039,.0467289,97
1.810918,60.7324,51.2676,112,1.184615,.084507,56
1.864721,47,47,94,1,0,47
1.880382,67.63043,54.36957,122,1.243902,.1086956,61
1.919631,73.43503,60.56497,134,1.2125,.0960452,67
1.972743,36.2449,37.7551,74,.9600001,-.0204081,37
2.332774,20.22018,17.77982,38,1.137255,.0642202,19
2.515684,7.352941,7.647059,15,.9615383,-.0196079,7.5
2.631396,8.676056,5.323944,14,1.62963,.2394366,7
