inc,m,f,t,csr,Hk,X
1.741734,875.1835,906.8165,1782,.9651164,-.0177514,891
1.916778,647.3077,657.6923,1305,.9842105,-.0079576,652.5
2.268117,506.9029,456.0971,963,1.111392,.0527578,481.5
2.282666,557.3434,530.6566,1088,1.05029,.0245283,544
2.29102,399.0045,361.9955,761,1.102236,.0486322,380.5
2.315638,718.1256,566.8744,1285,1.266816,.1177052,642.5
2.346767,349.196,308.804,658,1.130802,.0613861,329
2.930738,127.405,107.595,235,1.184116,.0842975,117.5
3.054072,63.85366,55.14634,119,1.157895,.0731707,59.5
3.113357,78.625,69.375,148,1.133333,.0625,74
