inc,m,f,t,csr,Hk,X
1.494901,440.567,484.433,925,.9094489,-.0474227,462.5
1.625413,348.1835,464.8165,813,.7490774,-.1434599,406.5
1.938464,286.0543,240.9457,527,1.187215,.085595,263.5
1.950545,256.2241,218.7759,475,1.171171,.0788381,237.5
1.959721,255.8395,230.1605,486,1.11157,.0528376,243
1.974627,287.6805,251.3194,539,1.144681,.0674603,269.5
2.000001,256.5839,202.4162,459,1.267606,.1180124,229.5
2.534413,50.07309,45.92691,96,1.090278,.0431894,48
2.613041,44.05797,35.94203,80,1.225806,.1014492,40
2.656618,35.73052,35.26948,71,1.013072,.0064934,35.5
