inc,m,f,t,csr,Hk,X
1.328975,2157.034,2229.966,4387,.9672943,-.0166247,2193.5
1.535842,1637.514,1612.486,3250,1.015521,.0077007,1625
1.597376,1669.777,1742.223,3412,.9584179,-.0212325,1706
1.80665,1078.161,990.8389,2069,1.08813,.042205,1034.5
1.908075,1064.156,905.8444,1970,1.174766,.080361,985
1.963401,1052.077,923.9229,1976,1.138707,.0648554,988
2.001628,1111.124,935.8763,2047,1.187255,.0856119,1023.5
2.160347,604.2188,573.7812,1178,1.053047,.0258384,589
2.566514,196.3094,179.6906,376,1.092486,.0441989,188
2.674983,188.252,189.748,378,.9921157,-.0039578,189
